商品ID,商品名称,日期,销量
P0100,家居商品100号,2024-11-25,44
P0100,家居商品100号,2024-11-26,61
P0100,家居商品100号,2024-11-27,57
P0100,家居商品100号,2024-11-28,63
P0100,家居商品100号,2024-11-29,43
P0100,家居商品100号,2024-11-30,61
P0100,家居商品100号,2024-12-01,78
P0100,家居商品100号,2024-12-02,78
P0100,家居商品100号,2024-12-03,62
P0100,家居商品100号,2024-12-04,64
P0100,家居商品100号,2024-12-05,124
P0100,家居商品100号,2024-12-06,90
P0100,家居商品100号,2024-12-07,125
P0100,家居商品100号,2024-12-08,75
P0100,家居商品100号,2024-12-09,56
P0100,家居商品100号,2024-12-10,43
P0100,家居商品100号,2024-12-11,52
P0100,家居商品100号,2024-12-12,68
P0100,家居商品100号,2024-12-13,65
P0100,家居商品100号,2024-12-14,68
P0100,家居商品100号,2024-12-15,76
P0100,家居商品100号,2024-12-16,73
P0100,家居商品100号,2024-12-17,46
P0100,家居商品100号,2024-12-18,52
P0100,家居商品100号,2024-12-19,56
P0100,家居商品100号,2024-12-20,44
P0100,家居商品100号,2024-12-21,48
P0100,家居商品100号,2024-12-22,80
P0100,家居商品100号,2024-12-23,86
P0100,家居商品100号,2024-12-24,75
P0058,数码商品58号,2024-11-25,62
P0058,数码商品58号,2024-11-26,53
P0058,数码商品58号,2024-11-27,47
P0058,数码商品58号,2024-11-28,53
P0058,数码商品58号,2024-11-29,58
P0058,数码商品58号,2024-11-30,38
P0058,数码商品58号,2024-12-01,60
P0058,数码商品58号,2024-12-02,77
P0058,数码商品58号,2024-12-03,46
P0058,数码商品58号,2024-12-04,51
P0058,数码商品58号,2024-12-05,93
P0058,数码商品58号,2024-12-06,72
P0058,数码商品58号,2024-12-07,81
P0058,数码商品58号,2024-12-08,58
P0058,数码商品58号,2024-12-09,46
P0058,数码商品58号,2024-12-10,35
P0058,数码商品58号,2024-12-11,59
P0058,数码商品58号,2024-12-12,42
P0058,数码商品58号,2024-12-13,50
P0058,数码商品58号,2024-12-14,43
P0058,数码商品58号,2024-12-15,81
P0058,数码商品58号,2024-12-16,55
P0058,数码商品58号,2024-12-17,47
P0058,数码商品58号,2024-12-18,60
P0058,数码商品58号,2024-12-19,59
P0058,数码商品58号,2024-12-20,40
P0058,数码商品58号,2024-12-21,58
P0058,数码商品58号,2024-12-22,62
P0058,数码商品58号,2024-12-23,63
P0058,数码商品58号,2024-12-24,38
P0019,美妆商品19号,2024-11-25,34
P0019,美妆商品19号,2024-11-26,51
P0019,美妆商品19号,2024-11-27,45
P0019,美妆商品19号,2024-11-28,43
P0019,美妆商品19号,2024-11-29,51
P0019,美妆商品19号,2024-11-30,52
P0019,美妆商品19号,2024-12-01,47
P0019,美妆商品19号,2024-12-02,63
P0019,美妆商品19号,2024-12-03,35
P0019,美妆商品19号,2024-12-04,52
P0019,美妆商品19号,2024-12-05,89
P0019,美妆商品19号,2024-12-06,104
P0019,美妆商品19号,2024-12-07,60
P0019,美妆商品19号,2024-12-08,43
P0019,美妆商品19号,2024-12-09,51
P0019,美妆商品19号,2024-12-10,38
P0019,美妆商品19号,2024-12-11,38
P0019,美妆商品19号,2024-12-12,56
P0019,美妆商品19号,2024-12-13,38
P0019,美妆商品19号,2024-12-14,39
P0019,美妆商品19号,2024-12-15,68
P0019,美妆商品19号,2024-12-16,57
P0019,美妆商品19号,2024-12-17,53
P0019,美妆商品19号,2024-12-18,33
P0019,美妆商品19号,2024-12-19,45
P0019,美妆商品19号,2024-12-20,32
P0019,美妆商品19号,2024-12-21,33
P0019,美妆商品19号,2024-12-22,73
P0019,美妆商品19号,2024-12-23,46
P0019,美妆商品19号,2024-12-24,46
