原材料名称,品类,采购单价,月使用量,总成本,损耗率,损耗原因,采购批次,损耗成本
牛肉,主料,85.0,474,40290.0,3.18,运输破损,2024-01,1281.22
牛肉,主料,85.0,555,47175.0,2.65,加工工艺,2024-02,1250.14
牛肉,主料,85.0,431,36635.0,1.84,存储不当,2024-03,674.08
牛肉,主料,85.0,520,44200.0,2.81,加工工艺,2024-04,1242.02
牛肉,主料,85.0,411,34935.0,2.83,加工工艺,2024-05,988.66
牛肉,主料,85.0,442,37570.0,2.02,存储不当,2024-06,758.91
猪肉,主料,35.0,837,29295.0,3.41,存储不当,2024-01,998.96
猪肉,主料,35.0,778,27230.0,2.8,存储不当,2024-02,762.44
猪肉,主料,35.0,767,26845.0,2.33,加工工艺,2024-03,625.49
猪肉,主料,35.0,757,26495.0,3.12,存储不当,2024-04,826.64
猪肉,主料,35.0,837,29295.0,2.97,加工工艺,2024-05,870.06
猪肉,主料,35.0,829,29015.0,2.33,存储不当,2024-06,676.05
鸡肉,主料,18.0,1286,23148.0,2.72,运输破损,2024-01,629.63
鸡肉,主料,18.0,1415,25470.0,3.58,运输破损,2024-02,911.83
鸡肉,主料,18.0,1144,20592.0,1.99,运输破损,2024-03,409.78
鸡肉,主料,18.0,1288,23184.0,2.7,加工工艺,2024-04,625.97
鸡肉,主料,18.0,1252,22536.0,3.36,加工工艺,2024-05,757.21
鸡肉,主料,18.0,1396,25128.0,2.39,运输破损,2024-06,600.56
三文鱼,主料,120.0,220,26400.0,4.3,运输破损,2024-01,1135.2
三文鱼,主料,120.0,203,24360.0,3.65,存储不当,2024-02,889.14
三文鱼,主料,120.0,227,27240.0,4.36,运输破损,2024-03,1187.66
三文鱼,主料,120.0,231,27720.0,4.76,运输破损,2024-04,1319.47
三文鱼,主料,120.0,186,22320.0,4.69,运输破损,2024-05,1046.81
三文鱼,主料,120.0,163,19560.0,4.03,运输破损,2024-06,788.27
虾仁,主料,95.0,329,31255.0,3.89,加工工艺,2024-01,1215.82
虾仁,主料,95.0,282,26790.0,3.3,加工工艺,2024-02,884.07
虾仁,主料,95.0,273,25935.0,3.34,存储不当,2024-03,866.23
虾仁,主料,95.0,248,23560.0,4.91,加工工艺,2024-04,1156.8
虾仁,主料,95.0,287,27265.0,3.33,存储不当,2024-05,907.92
虾仁,主料,95.0,337,32015.0,4.27,存储不当,2024-06,1367.04
进口牛排,主料,280.0,167,46760.0,2.13,运输破损,2024-01,995.99
进口牛排,主料,280.0,141,39480.0,1.54,存储不当,2024-02,607.99
进口牛排,主料,280.0,171,47880.0,1.94,存储不当,2024-03,928.87
进口牛排,主料,280.0,123,34440.0,1.77,运输破损,2024-04,609.59
进口牛排,主料,280.0,159,44520.0,2.11,运输破损,2024-05,939.37
进口牛排,主料,280.0,173,48440.0,1.97,存储不当,2024-06,954.27
羊肉,主料,75.0,297,22275.0,4.23,加工工艺,2024-01,942.23
羊肉,主料,75.0,256,19200.0,4.07,加工工艺,2024-02,781.44
羊肉,主料,75.0,204,15300.0,3.94,存储不当,2024-03,602.82
羊肉,主料,75.0,202,15150.0,2.68,加工工艺,2024-04,406.02
羊肉,主料,75.0,289,21675.0,3.45,加工工艺,2024-05,747.79
羊肉,主料,75.0,250,18750.0,4.36,加工工艺,2024-06,817.5
鸭肉,主料,28.0,416,11648.0,4.1,加工工艺,2024-01,477.57
鸭肉,主料,28.0,356,9968.0,2.98,加工工艺,2024-02,297.05
鸭肉,主料,28.0,431,12068.0,4.91,运输破损,2024-03,592.54
鸭肉,主料,28.0,449,12572.0,4.32,运输破损,2024-04,543.11
鸭肉,主料,28.0,393,11004.0,3.32,运输破损,2024-05,365.33
鸭肉,主料,28.0,462,12936.0,4.09,运输破损,2024-06,529.08
食用盐,辅料,3.5,443,1550.5,1.13,存储不当,2024-01,17.52
食用盐,辅料,3.5,561,1963.5,1.09,存储不当,2024-02,21.4
食用盐,辅料,3.5,522,1827.0,0.96,存储不当,2024-03,17.54
食用盐,辅料,3.5,477,1669.5,1.11,存储不当,2024-04,18.53
食用盐,辅料,3.5,449,1571.5,1.22,存储不当,2024-05,19.17
食用盐,辅料,3.5,497,1739.5,1.29,存储不当,2024-06,22.44
白砂糖,辅料,8.0,372,2976.0,1.35,存储不当,2024-01,40.18
白砂糖,辅料,8.0,378,3024.0,1.51,存储不当,2024-02,45.66
白砂糖,辅料,8.0,388,3104.0,1.24,运输破损,2024-03,38.49
白砂糖,辅料,8.0,455,3640.0,1.35,运输破损,2024-04,49.14
白砂糖,辅料,8.0,425,3400.0,1.29,运输破损,2024-05,43.86
白砂糖,辅料,8.0,344,2752.0,1.57,运输破损,2024-06,43.21
生抽酱油,辅料,15.0,194,2910.0,1.63,运输破损,2024-01,47.43
生抽酱油,辅料,15.0,190,2850.0,2.11,运输破损,2024-02,60.14
生抽酱油,辅料,15.0,210,3150.0,2.02,运输破损,2024-03,63.63
生抽酱油,辅料,15.0,196,2940.0,2.04,运输破损,2024-04,59.98
生抽酱油,辅料,15.0,205,3075.0,1.66,运输破损,2024-05,51.04
生抽酱油,辅料,15.0,192,2880.0,1.79,运输破损,2024-06,51.55
老抽酱油,辅料,18.0,163,2934.0,2.17,运输破损,2024-01,63.67
老抽酱油,辅料,18.0,171,3078.0,2.11,运输破损,2024-02,64.95
老抽酱油,辅料,18.0,164,2952.0,2.46,运输破损,2024-03,72.62
老抽酱油,辅料,18.0,134,2412.0,2.21,运输破损,2024-04,53.31
老抽酱油,辅料,18.0,158,2844.0,2.52,运输破损,2024-05,71.67
老抽酱油,辅料,18.0,142,2556.0,1.95,运输破损,2024-06,49.84
料酒,辅料,12.0,191,2292.0,2.02,运输破损,2024-01,46.3
料酒,辅料,12.0,171,2052.0,1.51,运输破损,2024-02,30.99
料酒,辅料,12.0,203,2436.0,1.73,运输破损,2024-03,42.14
料酒,辅料,12.0,180,2160.0,2.04,运输破损,2024-04,44.06
料酒,辅料,12.0,189,2268.0,1.97,运输破损,2024-05,44.68
料酒,辅料,12.0,164,1968.0,1.83,运输破损,2024-06,36.01
白醋,辅料,6.0,232,1392.0,2.23,存储不当,2024-01,31.04
白醋,辅料,6.0,240,1440.0,2.56,存储不当,2024-02,36.86
白醋,辅料,6.0,204,1224.0,3.0,存储不当,2024-03,36.72
白醋,辅料,6.0,246,1476.0,2.9,运输破损,2024-04,42.8
白醋,辅料,6.0,199,1194.0,2.28,运输破损,2024-05,27.22
白醋,辅料,6.0,234,1404.0,2.9,存储不当,2024-06,40.72
蚝油,辅料,22.0,116,2552.0,3.47,存储不当,2024-01,88.55
蚝油,辅料,22.0,132,2904.0,3.52,存储不当,2024-02,102.22
蚝油,辅料,22.0,130,2860.0,3.2,存储不当,2024-03,91.52
蚝油,辅料,22.0,122,2684.0,2.85,存储不当,2024-04,76.49
蚝油,辅料,22.0,135,2970.0,3.57,存储不当,2024-05,106.03
蚝油,辅料,22.0,112,2464.0,2.77,存储不当,2024-06,68.25
豆瓣酱,辅料,16.0,99,1584.0,2.74,存储不当,2024-01,43.4
豆瓣酱,辅料,16.0,114,1824.0,2.44,存储不当,2024-02,44.51
豆瓣酱,辅料,16.0,85,1360.0,2.79,存储不当,2024-03,37.94
豆瓣酱,辅料,16.0,90,1440.0,2.65,存储不当,2024-04,38.16
豆瓣酱,辅料,16.0,107,1712.0,3.05,存储不当,2024-05,52.22
豆瓣酱,辅料,16.0,94,1504.0,2.85,存储不当,2024-06,42.86
花椒,辅料,85.0,50,4250.0,4.75,加工工艺,2024-01,201.88
花椒,辅料,85.0,46,3910.0,5.35,存储不当,2024-02,209.18
花椒,辅料,85.0,49,4165.0,5.23,存储不当,2024-03,217.83
花椒,辅料,85.0,54,4590.0,4.5,加工工艺,2024-04,206.55
花椒,辅料,85.0,52,4420.0,5.16,加工工艺,2024-05,228.07
花椒,辅料,85.0,53,4505.0,4.11,存储不当,2024-06,185.16
八角,辅料,65.0,43,2795.0,2.86,存储不当,2024-01,79.94
八角,辅料,65.0,45,2925.0,3.46,存储不当,2024-02,101.2
八角,辅料,65.0,37,2405.0,4.04,存储不当,2024-03,97.16
八角,辅料,65.0,42,2730.0,4.13,存储不当,2024-04,112.75
八角,辅料,65.0,37,2405.0,3.57,存储不当,2024-05,85.86
八角,辅料,65.0,40,2600.0,4.17,存储不当,2024-06,108.42
生姜,辅料,12.0,261,3132.0,7.38,加工工艺,2024-01,231.14
生姜,辅料,12.0,331,3972.0,7.41,加工工艺,2024-02,294.33
生姜,辅料,12.0,288,3456.0,7.66,加工工艺,2024-03,264.73
生姜,辅料,12.0,317,3804.0,8.22,加工工艺,2024-04,312.69
生姜,辅料,12.0,273,3276.0,8.55,存储不当,2024-05,280.1
生姜,辅料,12.0,267,3204.0,8.06,加工工艺,2024-06,258.24
大蒜,辅料,8.0,378,3024.0,7.41,存储不当,2024-01,224.08
大蒜,辅料,8.0,424,3392.0,6.13,存储不当,2024-02,207.93
大蒜,辅料,8.0,375,3000.0,6.29,加工工艺,2024-03,188.7
大蒜,辅料,8.0,444,3552.0,7.57,加工工艺,2024-04,268.89
大蒜,辅料,8.0,340,2720.0,6.83,加工工艺,2024-05,185.78
大蒜,辅料,8.0,417,3336.0,7.03,加工工艺,2024-06,234.52
葱,辅料,6.0,302,1812.0,11.55,存储不当,2024-01,209.29
葱,辅料,6.0,336,2016.0,8.38,存储不当,2024-02,168.94
葱,辅料,6.0,368,2208.0,9.31,加工工艺,2024-03,205.56
葱,辅料,6.0,354,2124.0,9.15,加工工艺,2024-04,194.35
葱,辅料,6.0,387,2322.0,9.0,加工工艺,2024-05,208.98
葱,辅料,6.0,383,2298.0,9.44,加工工艺,2024-06,216.93
香菜,辅料,15.0,75,1125.0,13.57,加工工艺,2024-01,152.66
香菜,辅料,15.0,73,1095.0,12.59,加工工艺,2024-02,137.86
香菜,辅料,15.0,88,1320.0,10.53,加工工艺,2024-03,139.0
香菜,辅料,15.0,80,1200.0,12.66,加工工艺,2024-04,151.92
香菜,辅料,15.0,71,1065.0,14.25,加工工艺,2024-05,151.76
香菜,辅料,15.0,75,1125.0,13.42,存储不当,2024-06,150.98
食品级塑料袋,包装材料,0.15,4933,739.95,3.76,存储不当,2024-01,27.82
食品级塑料袋,包装材料,0.15,4525,678.75,3.99,运输破损,2024-02,27.08
食品级塑料袋,包装材料,0.15,4928,739.2,3.7,运输破损,2024-03,27.35
食品级塑料袋,包装材料,0.15,4673,700.95,3.14,存储不当,2024-04,22.01
食品级塑料袋,包装材料,0.15,4739,710.85,3.07,运输破损,2024-05,21.82
食品级塑料袋,包装材料,0.15,5160,774.0,3.27,存储不当,2024-06,25.31
真空包装袋,包装材料,0.45,3010,1354.5,2.93,运输破损,2024-01,39.69
真空包装袋,包装材料,0.45,2961,1332.45,2.99,运输破损,2024-02,39.84
真空包装袋,包装材料,0.45,2728,1227.6,2.86,运输破损,2024-03,35.11
真空包装袋,包装材料,0.45,2795,1257.75,2.48,运输破损,2024-04,31.19
真空包装袋,包装材料,0.45,2905,1307.25,2.46,运输破损,2024-05,32.16
真空包装袋,包装材料,0.45,2756,1240.2,2.64,运输破损,2024-06,32.74
纸箱,包装材料,2.5,2191,5477.5,4.96,存储不当,2024-01,271.68
纸箱,包装材料,2.5,1839,4597.5,5.49,运输破损,2024-02,252.4
纸箱,包装材料,2.5,1938,4845.0,5.44,运输破损,2024-03,263.57
纸箱,包装材料,2.5,1959,4897.5,5.69,运输破损,2024-04,278.67
纸箱,包装材料,2.5,2154,5385.0,5.11,存储不当,2024-05,275.17
纸箱,包装材料,2.5,2050,5125.0,5.51,运输破损,2024-06,282.39
泡沫箱,包装材料,8.0,806,6448.0,4.22,运输破损,2024-01,272.11
泡沫箱,包装材料,8.0,818,6544.0,4.53,运输破损,2024-02,296.44
泡沫箱,包装材料,8.0,871,6968.0,4.44,运输破损,2024-03,309.38
泡沫箱,包装材料,8.0,821,6568.0,4.36,运输破损,2024-04,286.36
泡沫箱,包装材料,8.0,828,6624.0,4.09,运输破损,2024-05,270.92
泡沫箱,包装材料,8.0,740,5920.0,4.37,运输破损,2024-06,258.7
保鲜膜,包装材料,12.0,638,7656.0,2.59,存储不当,2024-01,198.29
保鲜膜,包装材料,12.0,638,7656.0,2.61,存储不当,2024-02,199.82
保鲜膜,包装材料,12.0,564,6768.0,2.33,存储不当,2024-03,157.69
保鲜膜,包装材料,12.0,565,6780.0,2.41,存储不当,2024-04,163.4
保鲜膜,包装材料,12.0,544,6528.0,2.59,存储不当,2024-05,169.08
保鲜膜,包装材料,12.0,580,6960.0,2.62,存储不当,2024-06,182.35
铝箔纸,包装材料,25.0,293,7325.0,3.16,运输破损,2024-01,231.47
铝箔纸,包装材料,25.0,290,7250.0,2.78,运输破损,2024-02,201.55
铝箔纸,包装材料,25.0,299,7475.0,3.17,运输破损,2024-03,236.96
铝箔纸,包装材料,25.0,290,7250.0,3.39,运输破损,2024-04,245.78
铝箔纸,包装材料,25.0,272,6800.0,2.93,运输破损,2024-05,199.24
铝箔纸,包装材料,25.0,328,8200.0,3.04,运输破损,2024-06,249.28
食品标签,包装材料,0.08,9846,787.68,1.53,存储不当,2024-01,12.05
食品标签,包装材料,0.08,10151,812.08,1.6,存储不当,2024-02,12.99
食品标签,包装材料,0.08,9255,740.4,1.39,存储不当,2024-03,10.29
食品标签,包装材料,0.08,10161,812.88,1.67,存储不当,2024-04,13.58
食品标签,包装材料,0.08,10123,809.84,1.38,存储不当,2024-05,11.18
食品标签,包装材料,0.08,10359,828.72,1.61,存储不当,2024-06,13.34
打包带,包装材料,15.0,379,5685.0,4.33,运输破损,2024-01,246.16
打包带,包装材料,15.0,402,6030.0,4.5,运输破损,2024-02,271.35
打包带,包装材料,15.0,391,5865.0,4.23,运输破损,2024-03,248.09
打包带,包装材料,15.0,367,5505.0,3.9,运输破损,2024-04,214.7
打包带,包装材料,15.0,436,6540.0,4.97,运输破损,2024-05,325.04
打包带,包装材料,15.0,388,5820.0,5.12,运输破损,2024-06,297.98
