商品ID,商品名称,类目,价格,规格,材质,上架日期,上架时长(天),促销力度,优惠券使用占比,曝光量,点击率,转化率,收藏加购率,销量,评分,好评关键词,差评原因
P0001,图书商品1号,图书,123.55,套装,纸张,2024-08-17,136,0.05,0.42,173517,0.0229,0.1011,0.0641,737,4.2,"外观漂亮,物流快,材质舒适",
P0002,图书商品2号,图书,38.13,套装,纸张,2024-05-26,219,0.49,0.43,431370,0.0712,0.0731,0.0533,48,4.1,"物流快,外观漂亮",物流慢
P0003,美妆商品3号,美妆,421.6,50ml,天然,2024-09-12,110,0.26,0.48,100578,0.0973,0.1185,0.2849,125,4.0,"颜色正,物流快,性价比高",
P0004,数码商品4号,数码,4829.75,1TB,塑料,2024-10-22,70,0.21,0.38,153809,0.0113,0.0378,0.2278,45,3.5,"包装精美,外观漂亮,尺码准,材质舒适","色差大,材质一般"
P0005,图书商品5号,图书,60.43,平装,纸张,2024-08-25,128,0.19,0.78,425967,0.075,0.043,0.114,394,4.3,"颜色正,物流快,外观漂亮,包装精美","色差大,材质一般"
P0006,图书商品6号,图书,98.57,套装,纸张,2024-06-14,200,0.35,0.72,315933,0.0366,0.0248,0.1641,127,4.4,"颜色正,外观漂亮,材质舒适",
P0007,食品商品7号,食品,76.99,500g,天然,2024-05-18,227,0.06,0.34,472025,0.0391,0.0826,0.2258,398,3.8,"物流快,材质舒适",与描述不符
P0008,服装商品8号,服装,170.05,M,涤纶,2024-04-26,249,0.12,0.2,249831,0.0987,0.0439,0.218,28,4.9,"尺码准,材质舒适,性价比高,包装精美",
P0009,运动商品9号,运动,558.99,S,涤纶,2024-07-31,153,0.16,0.25,358463,0.0829,0.0588,0.074,275,4.8,"尺码准,包装精美",
P0010,数码商品10号,数码,4631.0,256GB,塑料,2024-08-25,128,0.26,0.28,498164,0.0969,0.0882,0.2707,33,5.0,"材质舒适,性价比高,颜色正,包装精美",
P0011,母婴商品11号,母婴,179.67,大号,塑料,2024-08-11,142,0.0,0.17,335115,0.0105,0.0325,0.1872,93,4.4,"外观漂亮,性价比高,材质舒适",
P0012,食品商品12号,食品,106.67,250g,天然,2024-11-10,51,0.45,0.54,399457,0.0552,0.0908,0.1731,188,4.1,"材质舒适,性价比高",
P0013,美妆商品13号,美妆,445.24,30ml,化学合成,2024-10-26,66,0.48,0.7,154279,0.0447,0.1292,0.1292,994,4.9,"外观漂亮,包装精美,颜色正",
P0014,数码商品14号,数码,3113.54,512GB,塑料,2024-07-28,156,0.35,0.59,186150,0.0364,0.1233,0.2525,126,4.6,"尺码准,材质舒适",
