商品ID,商品名称,类目,价格,规格,材质,上架时长,总销量,促销力度,优惠券使用率,曝光量,点击率,转化率,收藏加购率,评分,评价数
P073,商品_73,服装鞋帽,4859.19,S,金属,325,12254,0.39,0.24,60201,0.0839,0.1094,0.0917,5.0,702
P031,商品_31,食品饮料,2143.43,S,玻璃,58,7104,0.43000000000000005,0.3,88062,0.0388,0.0503,0.0417,4.5,896
P076,商品_76,美妆护肤,2491.27,500ml,玻璃,180,6567,0.25,0.06,47197,0.0796,0.0793,0.1141,3.5,2956
P078,商品_78,服装鞋帽,1431.35,500ml,合成材料,250,6149,0.22999999999999998,0.21,24710,0.0244,0.1049,0.0206,5.0,3234
P042,商品_42,食品饮料,1151.7,500ml,棉麻,272,5742,0.32999999999999996,0.04,5018,0.0146,0.09809999999999999,0.137,3.6,3463
P056,商品_56,美妆护肤,1596.84,5kg,金属,69,4251,0.4,0.39,6408,0.088,0.0496,0.0968,5.0,1865
P019,商品_19,服装鞋帽,1632.66,5kg,金属,120,4143,0.44999999999999996,0.13,83985,0.1375,0.0702,0.1965,4.5,4009
P092,商品_92,美妆护肤,1195.81,S,合成材料,178,3695,0.59,0.14,76683,0.0375,0.0961,0.0666,5.0,4177
P008,商品_8,食品饮料,3537.22,L,玻璃,47,3564,0.5599999999999999,0.29,59596,0.0243,0.0692,0.1932,3.6,4809
P054,商品_54,电子产品,4039.13,5kg,真皮,285,3103,0.22,0.04,81910,0.1466,0.0848,0.1528,4.6,3243
P046,商品_46,电子产品,4649.19,XL,真皮,278,3092,0.45,0.07,55917,0.0332,0.0722,0.1793,4.8,4974
P061,商品_61,家居用品,4305.05,L,丝绸,218,2715,0.16,0.27,99723,0.0534,0.0326,0.02,3.3,2265
P035,商品_35,运动户外,3185.69,5kg,金属,290,2458,0.01,0.15,68728,0.068,0.0264,0.0959,3.7,1833
P077,商品_77,服装鞋帽,1511.38,1L,玻璃,223,2442,0.02,0.19,56180,0.1171,0.0924,0.1518,4.1,536
P018,商品_18,运动户外,1561.8,S,塑料,145,2305,0.48,0.01,15060,0.1277,0.0662,0.1347,4.0,3114
P051,商品_51,运动户外,940.98,2L,金属,144,2279,0.31,0.21,97809,0.0408,0.0548,0.1647,4.8,3973
P032,商品_32,服装鞋帽,136.84,XXL,金属,122,1993,0.44,0.17,19574,0.1203,0.0609,0.1516,3.1,2854
P085,商品_85,运动户外,1205.41,XXL,合成材料,280,1898,0.18,0.32,65772,0.1221,0.0343,0.1839,3.8,1026
P070,商品_70,运动户外,2598.77,2L,玻璃,250,1763,0.09,0.2,3336,0.0922,0.0963,0.1064,3.9,3643
P080,商品_80,服装鞋帽,3051.73,500ml,塑料,96,1744,0.09,0.13,72907,0.0206,0.0954,0.0735,3.4,3354
P090,商品_90,美妆护肤,3363.96,XL,丝绸,340,1729,0.31,0.19,17478,0.0872,0.096,0.1922,3.0,3798
P007,商品_7,食品饮料,4079.15,L,丝绸,350,1682,0.43,0.1,42832,0.093,0.0466,0.1653,3.8,2363
P026,商品_26,美妆护肤,3806.32,10kg,陶瓷,117,1675,0.26,0.32,40711,0.0536,0.0426,0.1259,4.8,4843
P024,商品_24,服装鞋帽,606.78,L,陶瓷,346,1630,0.06,0.24,30287,0.1272,0.0411,0.1406,4.5,3563
P003,商品_3,食品饮料,4934.57,XL,玻璃,5,1521,0.23,0.15,44925,0.0295,0.0826,0.1942,3.5,2762
P012,商品_12,食品饮料,1798.74,5kg,玻璃,144,1502,0.38,0.04,16524,0.1012,0.0863,0.0356,4.3,3757
P050,商品_50,家居用品,4020.32,500ml,棉麻,154,1493,0.2,0.03,25519,0.0489,0.0834,0.123,4.0,4675
P028,商品_28,电子产品,3857.13,XL,陶瓷,279,1452,0.26,0.03,74340,0.0951,0.0298,0.12,3.9,525
P044,商品_44,食品饮料,1455.86,S,陶瓷,192,1347,0.2,0.1,68506,0.0448,0.0219,0.1209,4.9,998
P082,商品_82,运动户外,266.88,500ml,玻璃,325,1307,0.06,0.03,65435,0.0481,0.0959,0.1488,3.7,1885
P062,商品_62,美妆护肤,44.69,5kg,塑料,341,1282,0.32,0.37,52356,0.0656,0.067,0.0534,3.7,3620
P037,商品_37,运动户外,2547.77,L,金属,126,1281,0.31,0.23,12246,0.1392,0.0561,0.1541,4.5,3165
P091,商品_91,服装鞋帽,3810.48,L,金属,152,1227,0.04,0.16,40666,0.0455,0.0239,0.1636,3.9,2778
P093,商品_93,服装鞋帽,3643.8,S,玻璃,163,1153,0.46,0.37,72315,0.0808,0.0527,0.1259,3.8,3870
P038,商品_38,食品饮料,4538.76,L,塑料,118,1097,0.35,0.14,46558,0.0752,0.0768,0.0299,3.6,3103
P045,商品_45,美妆护肤,814.49,2L,玻璃,69,1013,0.22,0.06,42157,0.0909,0.0911,0.1066,3.2,4126
P010,商品_10,美妆护肤,3858.64,1L,真皮,311,964,0.5,0.2,89861,0.1206,0.067,0.1443,4.7,294
P089,商品_89,美妆护肤,1217.86,L,塑料,160,950,0.4,0.24,21609,0.0671,0.0862,0.0424,3.6,404
P049,商品_49,电子产品,4358.59,XL,金属,76,933,0.39,0.36,84122,0.1193,0.0577,0.0928,4.8,1692
P013,商品_13,运动户外,588.19,S,塑料,269,922,0.47,0.18,20282,0.118,0.021,0.1925,3.4,772
P063,商品_63,食品饮料,2558.63,XL,陶瓷,39,844,0.12,0.22,11789,0.0698,0.0545,0.0891,3.5,1617
P071,商品_71,运动户外,3518.06,1L,玻璃,10,820,0.17,0.1,68779,0.0512,0.0266,0.1245,4.8,4454
P068,商品_68,家居用品,4715.12,XL,丝绸,357,801,0.07,0.13,33154,0.0629,0.048,0.0359,4.8,600
P074,商品_74,家居用品,4812.61,S,金属,100,741,0.33,0.12,33265,0.0848,0.0161,0.0365,3.5,3909
P088,商品_88,运动户外,4928.4,XXL,合成材料,258,694,0.02,0.3,4756,0.1314,0.0857,0.0905,3.3,593
P009,商品_9,食品饮料,3647.75,XL,真皮,355,694,0.5,0.36,31523,0.1386,0.0178,0.1622,4.9,696
P099,商品_99,电子产品,4178.16,2L,陶瓷,65,672,0.1,0.07,1814,0.1109,0.0514,0.1538,4.9,4712
